"","x"
"718",76.8
"719",77
"720",77.4
"721",76.6
"722",77
"723",77.2
"724",76.6
"725",77.4
"726",77.9
"727",77.5
"728",77
"729",75.9
"730",75.4
"731",75.4
"732",75
"733",74.5
"734",74.3
"735",74.3
"736",74.1
"737",73.9
"738",73.9
"739",73.6
"740",74.8
"741",77.2
"742",78.3
"743",79
"744",78.8
"745",79.3
"746",79.2
"747",79.7
"748",79.5
"749",80.2
"750",79.7
"751",79.9
"752",78.3
"753",77.9
"754",77.2
"755",77.5
"756",77.7
"757",77.4
"758",77.4
"759",77
"760",75.6
"761",75
"762",75.9
"763",76.6
"764",77
"765",78.3
"766",79.5
"767",79.5
"768",81.7
"769",81.7
"770",81.5
"771",81.5
"772",81.1
"773",81.1
"774",81.5
"775",80.4
"776",79.7
"777",79.3
"778",79.5
"779",79.5
"780",79.3
"781",79.2
"782",79
"783",78.8
"784",78.8
"785",78.8
"786",78.6
"787",78.4
"788",78.8
"789",79.9
"790",80.8
"791",81.3
"792",81.9
"793",82.2
"794",82.4
"795",82.6
"796",82.4
"797",81.1
"798",81
"799",79.7
"800",79.2
"801",78.8
"802",78.8
"803",79
"804",78.8
"805",78.4
"806",78.3
"807",78.1
"808",77.9
"809",77.9
"810",77.7
"811",77.7
"812",77.9
"813",79
"814",79.5
"815",80.1
"816",80.8
"817",80.8
"818",81
"819",80.8
"820",81.7
"821",80.8
"822",79.7
"823",79.5
"824",78.6
"825",77.7
"826",77
"827",76.3
"828",76.3
"829",76.1
"830",76.1
"831",75.9
"832",75.6
"833",75.6
"834",75.6
"835",75.6
"836",76.5
"837",79.3
"838",79.2
"839",78.3
"840",79.9
"841",80.1
"842",80.1
"843",80.4
"844",81.1
"845",79.9
"846",79.5
"847",79.3
"848",77.7
"849",77
"850",77.2
"851",76.6
"852",76.3
"853",76.3
"854",75.9
"855",76.6
"856",75.9
"857",75.9
"858",75.7
"859",76.5
"860",79.2
"861",80.1
"862",80.1
"863",80.2
"864",81.3
"865",80.4
"866",81.3
"867",81
"868",80.4
"869",81.5
"870",79.7
"871",78.3
"872",77.9
"873",77.9
"874",77.5
"875",77
"876",77
"877",76.3
"878",76.1
"879",75.9
"880",76.3
"881",75.6
"882",75.6
"883",78.3
"884",79.2
"885",78.3
"886",78.3
"887",79
"888",79.2
